formulation_name,symptoms,ingredients,steps,dosage,category,product_link,doctor_type,description,dosha
Arkeshwar Rasa,fever infection weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infection and improves vitality,"Vata, Pitta"
Arkmurti Rasa,fever chronic fever infection weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever boosts immunity and improves strength,"Vata, Pitta"
Arogyavardhini Vati,liver disorders skin disorders indigestion toxin accumulation acne,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician hepatologist,supports liver detoxifies body and improves skin health,Tridosha
Arshkuthar Rasa,piles constipation bleeding piles abdominal pain,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,treats piles relieves constipation and reduces pain,Vata
Arshoghni Vati,piles constipation bleeding piles abdominal pain,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,treats piles relieves constipation and improves digestion,Vata
Arshohar Gutika,piles constipation bleeding piles abdominal pain,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,reduces piles improves digestion and relieves pain,Vata
Arshohara Chandraprabha Vati,piles urinary disorders constipation abdominal pain,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician,treats piles supports urinary health and improves digestion,Vata
Ashtakshari Gutika,fever infection weakness fatigue low immunity,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician,reduces fever boosts immunity and improves vitality,"Vata, Pitta"
Atisaravarana Rasa,diarrhea dysentery abdominal pain indigestion,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,controls diarrhea improves digestion and supports gut health,Vata
Avalgujadi Gutika,skin disorders itching infection inflammation vitiligo,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,dermatologist general physician,treats skin diseases improves pigmentation and reduces inflammation,Pitta
Bilwadi Gutika,diarrhea dysentery indigestion abdominal pain bloating,bilva herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,controls diarrhea improves digestion and supports gut health,Vata
Brihat Kasturi Bhairav Ras,fever chronic fever respiratory problems cough weakness,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,reduces fever supports lungs and boosts immunity,"Vata, Pitta, Kapha"
Brihat Mahashankh Vati,indigestion bloating gas abdominal pain constipation,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,improves digestion relieves gas and supports bowel movement,Vata
Chandraprabha Vati,urinary disorders kidney problems diabetes reproductive issues weakness,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician urologist,supports urinary health improves strength and balances metabolism,Vata
Chandrodaya Vati,weakness fatigue low immunity chronic illness recovery,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician,enhances vitality improves strength and boosts immunity,Vata
Chitrakadi Vati,indigestion bloating gas abdominal pain poor digestion loss of appetite,chitrak herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,stimulates digestion relieves gas and improves appetite,Vata
Chukkumthippalyadi Gulika,cough asthma respiratory problems indigestion,ginger pippali herbs,prepare tablets from herbal mixture,250–500 mg,vati,,general physician pulmonologist,supports lungs improves digestion and relieves cough,Kapha
Dasangam Gutika,fever infection inflammation weakness fatigue,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician,reduces fever treats infection and improves vitality,Pitta
Dhanvantari Gutika,fever infection respiratory problems cough weakness,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician pulmonologist,supports lungs reduces fever and improves strength,"Vata, Pitta, Kapha"
Dooshivishari Gutika,toxicity poisoning skin disorders itching inflammation,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician,detoxifies body treats poisoning and improves skin health,Pitta
Ekadashayas Rasa,fever infection weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever boosts immunity and improves vitality,"Vata, Pitta"
Ekvinshti Guggul,joint pain arthritis inflammation toxin accumulation,guggulu herbal blend,prepare tablets from herbal mixture,250–500 mg,guggulu,,general physician orthopedist,reduces joint pain improves mobility and detoxifies body,"Vata, Pitta"
Eladi Gutika,cough cold sore throat respiratory problems,ela herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician pulmonologist,relieves cough soothes throat and improves breathing,Kapha
Gandhak Vati,skin disorders itching infection acne inflammation,sulfur herbal blend,prepare tablets from processed ingredients,250–500 mg,vati,,dermatologist general physician,treats skin diseases reduces infection and improves skin health,Pitta
Gandhaka Rasayana,skin disorders itching acne infection inflammation,sulfur herbal blend,prepare rasayana through repeated processing,125–250 mg,rasayana,,dermatologist general physician,rejuvenates skin treats infections and improves immunity,Pitta
Guduchi Satva,fever weakness fatigue low immunity infection,giloy extract,extract and purify starch from guduchi,125–250 mg,satva,,general physician,boosts immunity reduces fever and improves strength,"Vata, Pitta"
Guduchyadi Loha,anemia fever weakness fatigue low immunity,giloy iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician hematologist,improves hemoglobin boosts immunity and treats fever,"Vata, Pitta"
Hingukarpur Vati,indigestion bloating gas abdominal pain nausea,hing camphor herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,improves digestion relieves gas and reduces nausea,Vata
Hingvadi Vati,indigestion bloating gas abdominal pain constipation,hing herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,relieves gas improves digestion and supports bowel movement,Vata
Jwarghani Gutika,fever infection weakness fatigue low immunity,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician,reduces fever treats infection and improves vitality,"Vata, Pitta"
Jwarhara Yoga,fever chronic fever infection weakness fatigue,herbal blend,prepare herbal compound store,125–250 mg,rasa,,general physician,reduces fever boosts immunity and supports recovery,"Vata, Pitta"
Kamagnisandeepan Rasa,indigestion bloating gas abdominal pain poor digestion loss of appetite,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,stimulates digestion relieves gas and improves appetite,Vata
Kamdev Rasa,infertility low libido weakness fatigue reproductive disorders,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,enhances vitality improves fertility and boosts strength,Vata
Kaminimadbhanjan Rasa,infertility low libido weakness fatigue reproductive disorders,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,improves reproductive health enhances vitality and strength,Vata
Kaminimadvidhunan Rasa,infertility low libido weakness fatigue reproductive disorders,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,supports fertility improves vitality and boosts strength,Vata
Kamlantak Loha,anemia liver disorders weakness fatigue low hemoglobin,iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician hepatologist,improves hemoglobin supports liver and boosts strength,Vata
Kanadi Loha,anemia weakness fatigue low hemoglobin indigestion,iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician hematologist,treats anemia improves digestion and boosts strength,Vata
Kanak Prabha Vati,respiratory problems cough asthma bronchitis chest congestion,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician pulmonologist,relieves cough reduces congestion and supports lungs,Kapha
Kanaksunder Rasa,respiratory problems cough asthma weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,supports lungs improves strength and relieves cough,"Vata, Kapha"
Kanchnaar Guggul Vati,thyroid disorders swelling cysts tumors lymph node enlargement,kanchnar guggulu herbs,prepare tablets from herbal mixture,250–500 mg,guggulu,,general physician endocrinologist,reduces swelling supports thyroid and treats cysts,Tridosha
Kanchnaar Gutika,thyroid disorders swelling cysts tumors lymph node enlargement,kanchnar herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician endocrinologist,reduces swelling supports thyroid and improves metabolism,Tridosha
Kanchnabhra Rasa,respiratory problems cough asthma weakness fatigue,abhrak herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,supports lungs improves strength and boosts immunity,"Vata, Kapha"
Kankayan Gutika,piles constipation abdominal pain indigestion bleeding piles,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,treats piles relieves constipation and improves digestion,Vata
Kankayan Vati,piles constipation abdominal pain indigestion bleeding piles,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,relieves piles improves digestion and reduces pain,Vata
Karnyadi Vati,ear disorders infection ear pain inflammation,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,ent specialist,treats ear disorders reduces pain and infection,"Vata, Pitta"
Karunyasagar Rasa,fever infection weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infection and improves vitality,"Vata, Pitta"
Karutha Gutika,indigestion bloating gas abdominal pain diarrhea,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,improves digestion relieves gas and controls diarrhea,Vata
Kasa Sanharbhairav Rasa,cough asthma bronchitis respiratory problems chest congestion,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,relieves cough reduces congestion and supports lungs,Kapha
Kaskuthar Ras,cough asthma bronchitis respiratory problems fever,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,relieves cough reduces fever and improves breathing,"Pitta, Kapha"
Kasturi Bhairav Rasa Madhyam,fever chronic fever respiratory problems cough weakness,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,reduces fever supports lungs and boosts immunity,"Vata, Pitta, Kapha"
Kasturyadi Gutika,cough asthma respiratory problems fever weakness,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician pulmonologist,supports lungs relieves cough and improves breathing,"Vata, Pitta, Kapha"
Keetmard Rasa,parasitic infection intestinal worms indigestion bloating,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,eliminates worms improves digestion and detoxifies body,Vata
Kesharadi Vati,respiratory problems cough cold sore throat,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician pulmonologist,relieves cough improves throat health and supports lungs,Kapha
Ketari Rasa,fever infection weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infection and improves vitality,"Vata, Pitta"
Khadiradi Vati,mouth ulcers sore throat infection bad breath,khadir herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,dentist,treats oral infections reduces bad breath and improves oral health,Tridosha
Krimighatini Gutika,parasitic infection intestinal worms abdominal pain bloating,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,eliminates worms improves digestion and relieves pain,Vata
Krimighatini Vati,parasitic infection intestinal worms indigestion bloating,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,destroys parasites improves digestion and detoxifies body,Vata
Krimighna Vati,parasitic infection intestinal worms indigestion bloating,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,eliminates parasites improves digestion and reduces bloating,Vata
Krimisodhini Gulika,parasitic infection intestinal worms toxin accumulation indigestion,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,detoxifies body eliminates worms and improves digestion,Tridosha
Kshargutika,indigestion bloating gas abdominal pain constipation,alkaline herbal blend,prepare tablets from plant ash extract,125–250 mg,kshara,,general physician gastroenterologist,improves digestion relieves gas and supports bowel movement,Vata
Ksheer Vati,indigestion acidity burning sensation abdominal pain,milk processed herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,reduces acidity soothes stomach and improves digestion,Pitta
Kubajvinod Rasa,joint pain arthritis inflammation stiffness,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician orthopedist,relieves joint pain improves mobility and reduces inflammation,"Vata, Pitta"
Kumarika Vati,menstrual disorders hormonal imbalance abdominal pain weakness,aloe herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,gynecologist,regulates menstruation improves hormones and reduces pain,Vata
Kutaj Ghan Vati,diarrhea dysentery abdominal pain indigestion infection,kutaja extract,prepare tablets from concentrated extract,250–500 mg,vati,,general physician gastroenterologist,controls diarrhea treats infection and improves digestion,Vata
Lashunadi Vati,indigestion bloating gas abdominal pain high cholesterol,garlic herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician cardiologist,improves digestion reduces cholesterol and supports heart health,Vata
Lavangadi Vati,cough cold sore throat respiratory problems bad breath,clove herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician pulmonologist,relieves cough improves throat health and freshens breath,Kapha
Mahadhanwantharam Gulika,joint pain muscle weakness nerve disorders postnatal recovery,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician neurologist,supports nerves improves strength and aids recovery,Vata
Mahashankh Vati,indigestion bloating gas abdominal pain constipation,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,improves digestion relieves gas and supports bowel movement,Vata
Manasamitra Vatakam,stress anxiety depression insomnia memory loss neurological disorders,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,neurologist psychiatrist,calms mind improves memory and supports mental health,Vata
Mandoora Vatakam,anemia weakness fatigue low hemoglobin liver disorders,mandur iron herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician hematologist,improves hemoglobin supports liver and boosts strength,Vata
Marichadi Gutika,indigestion bloating gas abdominal pain poor digestion,black pepper herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,stimulates digestion relieves gas and improves appetite,Vata
Marma Gulika,pain inflammation joint pain muscle pain injury,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician orthopedist,relieves pain reduces inflammation and supports recovery,"Vata, Pitta"
Niruryadi Gulika,fever infection weakness fatigue low immunity,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician,reduces fever treats infection and improves vitality,"Vata, Pitta"
Nishamalaki,diabetes weakness fatigue low immunity indigestion,turmeric amla blend,prepare herbal formulation,3–5 g,churna,,general physician endocrinologist,manages diabetes improves immunity and supports digestion,Vata
Panchanan Vati,respiratory problems cough asthma bronchitis chest congestion,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician pulmonologist,supports lungs relieves cough and improves breathing,Kapha
Prabhakar Vati,heart disease palpitations hypertension weakness fatigue,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,cardiologist general physician,supports heart health reduces palpitations and improves vitality,Vata
Pradara Chintamani Vati,leucorrhea menstrual disorders excessive bleeding weakness fatigue,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,gynecologist general physician,controls bleeding supports uterine health and improves strength,Vata
Punarnava Mandur,anemia swelling edema liver disorders weakness fatigue,punarnava mandur iron blend,prepare compound process ingredients,125–250 mg,rasa,,general physician hematologist,improves hemoglobin reduces swelling and supports liver,Vata
Raja Pravartini Vati,menstrual disorders delayed periods hormonal imbalance abdominal pain,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,gynecologist,regulates menstruation relieves pain and balances hormones,Vata
Rasamanikya,skin disorders itching infection inflammation toxin accumulation,arsenic compound,prepare through specialized processing,125–250 mg,rasa,,dermatologist general physician,treats skin diseases reduces infection and detoxifies body,Pitta
Samshamani Vati,fever chronic fever infection weakness fatigue low immunity,giloy herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician,reduces fever boosts immunity and improves vitality,"Vata, Pitta"
Sanjivani Vati,fever infection indigestion toxin accumulation weakness,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician,detoxifies body reduces fever and improves digestion,"Vata, Pitta"
Sarivadi Vati,ear disorders hearing issues infection inflammation,sariva herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,ent specialist,improves hearing treats ear disorders and reduces infection,Pitta
Sarpagandha Ghan Vati,hypertension anxiety insomnia stress,sarpagandha extract,prepare tablets from extract,250–500 mg,vati,,cardiologist neurologist,reduces blood pressure calms mind and improves sleep,Vata
Shankh Vati,indigestion bloating gas abdominal pain acidity,shankh herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,improves digestion reduces acidity and relieves gas,Vata
Shiva Gutika,fever infection weakness fatigue low immunity,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician,reduces fever boosts immunity and improves vitality,"Vata, Pitta"
Shukramatrika Bati,infertility low libido weakness fatigue reproductive disorders,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician,enhances fertility improves vitality and boosts strength,Vata
Sukha Virechana Vati,constipation abdominal pain bloating toxin accumulation,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,relieves constipation detoxifies body and improves digestion,Vata
Swasanandam Gulika,cough asthma bronchitis respiratory problems chest congestion,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician pulmonologist,supports lungs relieves cough and improves breathing,Kapha
Talisapatradi Vatakam,cough cold sore throat respiratory problems fever,talispatra herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician pulmonologist,relieves cough reduces fever and improves respiratory health,Kapha
Udaymartand Rasa,fever infection weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and improves vitality,"Vata, Pitta"
Udrari Rasa,diarrhea dysentery abdominal pain indigestion,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,controls diarrhea improves digestion and supports gut health,Vata
Unmada Bhanjan Rasa,mental disorders anxiety psychosis insomnia neurological weakness,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,neurologist psychiatrist,treats mental disorders calms mind and improves brain function,Vata
Unmada Bhanjani Vatika,mental disorders anxiety insomnia stress neurological weakness,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,neurologist psychiatrist,calms mind improves sleep and supports mental health,Vata
Unmada Gajankush Ras,mental disorders anxiety psychosis insomnia neurological weakness,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,neurologist psychiatrist,treats mental disorders calms mind and improves brain function,Vata
Unmada Gajkesari Rasa,mental disorders anxiety psychosis insomnia neurological weakness,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,neurologist psychiatrist,supports brain health reduces anxiety and improves stability,Vata
Unmada Parpati Rasa,mental disorders anxiety psychosis insomnia neurological weakness,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,neurologist psychiatrist,treats mental disorders calms mind and improves brain function,Vata
Vayu Gutika,indigestion bloating gas abdominal pain constipation,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,relieves gas improves digestion and supports bowel movement,Vata
Visham Jwaranrak Loha,chronic fever anemia weakness fatigue low immunity,iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician hematologist,reduces chronic fever improves hemoglobin and boosts immunity,"Vata, Pitta"
Vyoshadi Vatakam,cough asthma respiratory problems indigestion,trikatu herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician pulmonologist,supports lungs improves digestion and relieves cough,Kapha
Yakrit Shulavinashini Vatika,liver disorders abdominal pain indigestion bloating,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician hepatologist,supports liver relieves pain and improves digestion,Vata
Ajjadadi Taila,joint pain arthritis inflammation muscle pain stiffness,herbal oil blend,boil herbs in oil base filter and store,external use,taila,,general physician orthopedist,relieves joint pain reduces inflammation and improves mobility,"Vata, Pitta"
Amrutadi Thailam,fever inflammation skin disorders weakness fatigue,giloy herbal oil,prepare by boiling herbs in oil base,external use,taila,,general physician,reduces inflammation improves skin health and boosts immunity,Pitta
Angaraka Taila,skin disorders acne inflammation infection itching,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,dermatologist,treats skin diseases reduces acne and inflammation,Pitta
Anu Tailam,sinusitis headache nasal congestion respiratory problems,herbal oil blend,prepare by boiling herbs in oil base,nasal drops,taila,,ent specialist,clears sinuses improves breathing and relieves headache,Kapha
Arimedadi Taila,gum disease tooth pain bad breath oral infection,herbal oil blend,prepare by boiling herbs in oil base,oil pulling,taila,,dentist,improves oral health reduces infection and strengthens gums,Vata
Arukaladi Tailam,joint pain arthritis inflammation muscle stiffness,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,relieves pain reduces inflammation and improves mobility,"Vata, Pitta"
Asana Eladi Thailam,skin disorders itching eczema infection inflammation,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,dermatologist,treats skin diseases reduces itching and improves skin health,Pitta
Asana Vilwadi Thailam,joint pain arthritis inflammation stiffness swelling,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,reduces joint pain improves mobility and relieves swelling,"Vata, Pitta"
Ashtapallava Taila,skin disorders wounds infection inflammation,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,dermatologist,heals wounds reduces infection and improves skin health,Pitta
Ashtapatra Taila,skin disorders itching infection inflammation wounds,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,dermatologist,treats skin diseases heals wounds and reduces inflammation,Pitta
Ashvatthavalkaladi Taila,wounds ulcers inflammation infection skin disorders,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,dermatologist,heals wounds reduces infection and supports skin repair,Pitta
Bala Ashwagandha Lakshadi Thailam,joint pain arthritis muscle weakness nerve disorders fatigue,bala ashwagandha laksha herbs oil,boil herbs in oil base filter and store,external use,taila,,general physician orthopedist,strengthens muscles relieves pain and supports nerves,Vata
Bala Thailam,joint pain muscle weakness nerve disorders paralysis stiffness,bala herbal oil,prepare by boiling herbs in oil base,external use,taila,,general physician neurologist,improves strength supports nerves and relieves stiffness,Vata
Baladhatryadi Thailam,weakness fatigue muscle loss low immunity,bala amla herbs oil,prepare by boiling herbs in oil base,external use,taila,,general physician,nourishes body improves strength and boosts immunity,Vata
Balaguluchyadi Thailam,inflammation fever weakness fatigue joint pain,bala giloy herbs oil,prepare by boiling herbs in oil base,external use,taila,,general physician,reduces inflammation improves strength and supports immunity,"Vata, Pitta"
Balahatadi Thailam,joint pain arthritis inflammation stiffness swelling,bala herbal oil,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,relieves joint pain reduces inflammation and improves mobility,"Vata, Pitta"
Bhringamalakadi Thailam,hair fall dandruff scalp infection premature greying,bhringraj amla herbs oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,promotes hair growth reduces dandruff and improves scalp health,Tridosha
Bhringaraja Taila,hair fall dandruff scalp issues premature greying,bhringraj herbs oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,strengthens hair promotes growth and prevents greying,Tridosha
Bilva Thailam,indigestion abdominal pain bloating diarrhea,bilva herbs oil,prepare by boiling herbs in oil base,external use,taila,,general physician gastroenterologist,supports digestion relieves abdominal pain and reduces bloating,Vata
Brahmi Thailam,stress anxiety insomnia headache memory loss,brahmi herbs oil,prepare by boiling herbs in oil base,external use,taila,,neurologist,calms mind improves sleep and enhances memory,Vata
Brihat Dashamoola Taila,joint pain arthritis inflammation nerve disorders stiffness,dashamoola herbs oil,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,reduces pain improves mobility and supports nerves,"Vata, Pitta"
Brihat Saindhavadi Taila,joint pain muscle pain stiffness swelling inflammation,saindhava herbal oil,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,relieves pain reduces swelling and improves mobility,"Vata, Pitta"
Chandanadi Thailam,burning sensation skin disorders inflammation itching,sandalwood herbal oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,cools body reduces inflammation and improves skin health,Pitta
Chandanbala Lakshadi Thailam,joint pain muscle weakness nerve disorders fatigue,sandalwood bala laksha herbs oil,prepare by boiling herbs in oil base,external use,taila,,general physician neurologist,strengthens muscles supports nerves and relieves pain,Vata
Chinchadi Tailam,skin disorders itching infection inflammation wounds,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,dermatologist,treats skin diseases heals wounds and reduces inflammation,Pitta
Dhanwantharam Thailam,joint pain muscle weakness nerve disorders postnatal care paralysis,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician neurologist,supports nerves improves strength and aids recovery,Vata
Dhurdhoorapathradi Coconut Oil,dandruff scalp infection itching hair fall,herbal coconut oil blend,prepare by boiling herbs in coconut oil,external use,taila,,dermatologist,treats scalp issues reduces dandruff and improves hair health,Tridosha
Dhurdhurapatradi Thailam,dandruff scalp infection itching hair fall,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,dermatologist,reduces dandruff treats scalp infections and promotes hair growth,Tridosha
Dinesavalyadi Keram,hair fall dandruff scalp weakness premature greying,herbal coconut oil,prepare by boiling herbs in coconut oil,external use,taila,,dermatologist,strengthens hair reduces hair fall and improves scalp health,Vata
Durvadi Thailam,bleeding disorders wounds inflammation skin disorders,durva herbal oil,prepare by boiling herbs in oil base,external use,taila,,general physician,stops bleeding heals wounds and reduces inflammation,Pitta
Eladi Thailam,skin disorders itching allergy rash inflammation,ela herbal oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,treats skin allergies reduces itching and improves skin health,Pitta
Gandha Thailam,joint pain arthritis muscle pain inflammation stiffness,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,relieves joint pain reduces inflammation and improves mobility,"Vata, Pitta"
Gandha Thailam Oil,joint pain arthritis muscle pain inflammation stiffness,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,reduces pain improves mobility and supports joints,"Vata, Pitta"
Gandharvahasthadi Thailam,constipation abdominal pain bloating gas indigestion,castor herbal oil,prepare by boiling herbs in oil base,external use,taila,,general physician gastroenterologist,relieves constipation improves digestion and reduces bloating,Vata
Ghaav Taila,wounds cuts ulcers infection inflammation,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician,heals wounds reduces infection and promotes recovery,Pitta
Gulgulumarichadi Thailam,joint pain arthritis inflammation stiffness swelling,guggulu maricha herbs oil,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,reduces inflammation relieves pain and improves mobility,"Vata, Pitta"
Hinguthrigunam Tailam,indigestion bloating gas abdominal pain colic,hing herbal oil,prepare by boiling herbs in oil base,external use,taila,,general physician gastroenterologist,relieves gas improves digestion and reduces abdominal pain,Vata
Jatyadi Tailam,wounds ulcers burns infection inflammation,jatyadi herbal oil,prepare by boiling herbs in oil base,external use,taila,,general physician,heals wounds reduces infection and supports tissue repair,Pitta
Jeevanthyadi Yamakam,eye disorders vision problems dryness irritation,jeevanti herbal oil,prepare by processing in dual oil base,external use,taila,,ophthalmologist,improves vision nourishes eyes and reduces irritation,Vata
Kanaka Thailam,respiratory problems cough asthma chest congestion,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician pulmonologist,supports lungs relieves cough and improves breathing,Kapha
Kanjunnyadi Tailam,joint pain inflammation swelling stiffness,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,reduces inflammation relieves pain and improves mobility,"Vata, Pitta"
Karanja Tailam,skin disorders itching eczema infection inflammation,karanja herbal oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,treats skin diseases reduces itching and improves skin health,Pitta
Karpasasthyadi Thailam,joint pain arthritis nerve disorders paralysis stiffness,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician neurologist,supports nerves improves mobility and relieves pain,Vata
Karpooradi Thailam,pain inflammation muscle pain joint stiffness,camphor herbal oil,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,relieves pain reduces inflammation and improves circulation,"Vata, Pitta"
